"title";"critic_score";"total_sales"
Guitar Hero II;9.2;2.21
Rock Band 2;9.2;2.2
Need for Speed: Hot Pursuit;8.8;2.2
BioShock 2;8.6;2.2
High School Musical: Makin' the Cut!;7.3;2.2
FIFA 15;7.9;2.19
Pro Evolution Soccer 2012;7.5;2.19
Star Wars: Knights of the Old Republic;9.4;2.19
Final Fantasy XIII;8.1;2.19
Need for Speed: Payback;5.8;2.18
ATV Offroad Fury 2;8.7;2.18
Your Shape featuring Jenny McCarthy;6.0;2.16
Call of Duty: Roads to Victory;6.1;2.14
SimCity 2000;8.0;2.14
NBA 2K12;9.0;2.13
Borderlands;8.2;2.12
Mortal Kombat (2011);8.6;2.12
Tony Hawk's Pro Skater;9.3;2.11
Need for Speed: Hot Pursuit 2;8.7;2.11
PES 2009: Pro Evolution Soccer;7.7;2.11
NBA 2K11;8.8;2.11
Grand Theft Auto: Episodes from Liberty City;9.0;2.09
Need for Speed: Most Wanted 5-1-0;7.4;2.09
Metal Gear Solid: Peace Walker;8.6;2.08
Rock Band;8.2;2.08
Sim Theme Park;8.1;2.08
Portal 2;9.6;2.08
UFC 2009 Undisputed;8.4;2.07
The Sims 2: Pets;4.8;2.07
Call of Duty 2;8.8;2.06
R4: Ridge Racer Type 4;9.1;2.06
The Incredibles;5.4;2.06
Tom Clancy's Splinter Cell: Conviction;8.6;2.06
Need for Speed: Undercover;5.9;2.06
Dark Souls;9.0;2.05
Mortal Kombat vs DC Universe;7.6;2.05
Need for Speed: ProStreet;7.1;2.05
Dragon Quest XI: Echoes of an Elusive Age;9.5;2.04
PGR4 - Project Gotham Racing 4;8.6;2.04
Need for Speed: ProStreet;7.2;2.04
NBA 2K17;8.8;2.04
Dance Central 2;8.6;2.04
Madden NFL 25;7.5;2.04
Rayman Raving Rabbids: TV Party;7.1;2.03
The Sims 3;8.1;2.03
NBA 2K18;7.7;2.02
Rocket League;8.7;2.02
Just Dance 3;5.5;2.02
Need for Speed: The Run;6.3;2.01
TouchMaster;6.9;2.0
Dead Space;8.9;2.0
Tenchu: Stealth Assassins;8.8;1.99
Harry Potter and the Chamber of Secrets;7.2;1.99
Mortal Kombat vs DC Universe;7.6;1.99
Just Cause 3;7.5;1.98
Hot Shots Golf: Open Tee;8.4;1.96
Tom Clancy's Rainbow Six: Vegas;8.8;1.95
Grand Theft Auto: San Andreas;9.2;1.95
Burnout Paradise;9.0;1.95
Call of Duty: World at War;8.1;1.94
FIFA Soccer 09;8.7;1.94
X-Men Legends;8.6;1.93
The Legend of Zelda: Oracle of Ages;9.4;1.92
Guitar Hero: World Tour;8.5;1.92
Red Faction;9.1;1.92
Madden NFL 18;8.8;1.91
Need for Speed: Shift;8.2;1.91
Star Wars Rogue Leader: Rogue Squadron II;9.2;1.9
Tomb Raider (2013);8.5;1.9
Madden NFL 09;8.6;1.89
Minecraft;9.2;1.89
Mortal Kombat: Deception;7.4;1.88
FIFA 2000;8.8;1.87
inFAMOUS 2;8.1;1.87
SingStar;8.0;1.86
The Legend of Dragoon;7.8;1.86
Sonic Classic Collection;7.5;1.86
The Legend of Zelda: Oracle of Seasons;9.3;1.86
The Evil Within;7.7;1.86
Shrek 2;6.9;1.86
Star Wars: The Force Unleashed;6.8;1.86
Forza Horizon 4;9.2;1.84
Rayman Raving Rabbids 2;6.6;1.84
The Elder Scrolls V: Skyrim Special Edition;8.1;1.83
BioShock Infinite;9.5;1.82
The Orange Box;9.7;1.82
Crazy Taxi;9.3;1.81
LEGO Star Wars III: The Clone Wars;7.5;1.79
Far Cry 5;7.2;1.78
State of Emergency;8.0;1.76
UFC 2009 Undisputed;8.4;1.76
The SpongeBob SquarePants Movie;6.6;1.76
High School Musical: Sing It!;6.4;1.76
Just Cause 2;8.3;1.75
FIFA Soccer 08;8.5;1.75
Crash Bandicoot: The Huge Adventure;8.3;1.73
Twisted Metal III;4.4;1.73
SSX Tricky;9.2;1.73
Call of Duty: World at War Final Fronts;6.8;1.72
Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City;9.7;1.72
Titanfall 2;8.9;1.72
The Beatles: Rock Band;9.0;1.71
Portal 2;9.6;1.71
Call of Duty: Modern Warfare 3;8.0;1.71
Call of Duty Black Ops: Declassified;3.2;1.71
Cabela's Big Game Hunter 2010;5.5;1.7
NCAA Football 07;8.9;1.7
The Sims 3: Late Night Expansion Pack;7.5;1.69
Harry Potter and the Sorcerer's Stone;6.6;1.69
Dragon Ball Z: The Legacy of Goku;6.5;1.69
Need for Speed: Undercover;6.3;1.69
Star Wars Battlefront: Renegade Squadron;7.5;1.68
Time Crisis;8.5;1.68
Far Cry 4;8.5;1.68
Saints Row 2;7.9;1.68
Dragon Age: Origins;8.7;1.67
SpongeBob SquarePants: Battle for Bikini Bottom;5.8;1.67
NCAA Football 2004;8.1;1.67
PGR: Project Gotham Racing 2;8.9;1.67
Shaun White Snowboarding: Road Trip;7.8;1.66
Need for Speed Carbon;7.9;1.65
MySims;7.1;1.65
Army of Two;6.7;1.64
Ape Escape;9.3;1.63
Uncharted: Golden Abyss;7.9;1.62
The Order: 1886;6.2;1.62
Call of Duty: Black Ops;8.5;1.62
Rock Band;9.1;1.62
Kinectimals;7.5;1.62
Tom Clancy's Ghost Recon Wildlands;7.7;1.61
Rage;7.9;1.6
Just Cause 2;8.0;1.6
Pro Evolution Soccer 2008;7.1;1.59
Soul Blade;8.6;1.59
LEGO Harry Potter: Years 1-4;7.9;1.59
Far Cry 2;8.5;1.59
Sonic Generations;7.3;1.59
FIFA 16;9.0;1.59
Devil May Cry 4;8.2;1.58
LEGO Pirates of the Caribbean: The Video Game;7.5;1.57
Pro Evolution Soccer 2010;7.2;1.57
Twisted Metal;7.0;1.56
Mortal Kombat;8.4;1.56
Mafia II;7.2;1.56
"007: The World is Not Enough";7.4;1.55
Guitar Hero 5;8.9;1.55
BioShock 2;8.5;1.55
Need for Speed: Most Wanted (2012);8.5;1.54
Die Hard Trilogy;8.5;1.54
Dark Cloud;8.2;1.54
Go Vacation;7.0;1.54
Fight Night Round 4;8.6;1.52
Sonic Rivals 2;6.4;1.52
Forza Motorsport 7;8.9;1.52
Dead Space 2;9.1;1.52
Call of Duty 3;7.7;1.51
Call of Duty: Modern Warfare: Reflex Edition;7.2;1.51
Star Wars: The Force Unleashed II;6.3;1.51
Rock Band 2;8.9;1.5
Football Manager 2012;8.5;1.5
WWF No Mercy;9.1;1.5
SoulCalibur II;9.2;1.5
Red Faction II;8.6;1.5
NFL Blitz;9.1;1.5
Metal Gear Rising: Revengeance;9.0;1.5
Dead Rising 2;8.2;1.49
Mafia II;7.0;1.49
LEGO Battles: Ninjago;5.0;1.48
LEGO Star Wars III: The Clone Wars;7.9;1.48
Disney Sing It: Pop Hits;6.8;1.48
"007: Quantum of Solace";6.6;1.48
Tom Clancy's Splinter Cell: Pandora Tomorrow;9.2;1.48
Sonic's Ultimate Genesis Collection;8.1;1.48
Fight Night Round 3;8.6;1.47
Minecraft;5.5;1.47
Super Scribblenauts;7.9;1.47
Battlefield: Bad Company;8.6;1.46
Mass Effect 3;8.9;1.46
Mass Effect 2;9.3;1.46
Homefront;6.7;1.46
Super Monkey Ball;9.0;1.46
The House of the Dead 2 & 3 Return;6.5;1.45
Sonic & SEGA All-Stars Racing;7.9;1.45
Sega Genesis Collection;8.3;1.45
Sonic Rivals;7.0;1.44
Star Wars: The Force Unleashed II;6.3;1.44
BioShock;9.3;1.44
Kinect Joy Ride;5.6;1.43
Dead Space 2;9.0;1.43
WWE SmackDown vs Raw 2008;7.3;1.43
Smarty Pants;6.5;1.43
UFC Undisputed 2010;8.4;1.42
Rayman Raving Rabbids;7.5;1.42
LEGO Star Wars II: The Original Trilogy;8.4;1.41
LEGO Indiana Jones 2: The Adventure Continues;7.5;1.41
LEGO Star Wars: The Video Game;7.9;1.41
Twisted Metal: Black;8.9;1.41
"2Xtreme";8.3;1.4
Spider-Man: The Movie;7.7;1.4
Anno 2070;8.7;1.4
Fight Night Round 4;8.7;1.4
Dead Space;8.9;1.4
Sonic Generations;7.7;1.39
Bakugan: Battle Brawlers;6.4;1.38
Rocket League;8.0;1.38
The Sims 2;6.2;1.38
Deus Ex: Human Revolution;8.8;1.38
Far Cry 2;8.4;1.38
Deus Ex: Human Revolution;8.8;1.38
Dead Rising 2;8.1;1.37
LEGO Harry Potter: Years 1-4;7.9;1.37
Call of Duty: Black Ops;7.5;1.37
Crysis 2;8.7;1.37
Need for Speed: The Run;5.5;1.37
A Collection of Activision Classic Games for the Atari 2600;3.8;1.37
Metroid: Other M;7.7;1.36
Crash Bandicoot 2: N-Tranced;7.5;1.36
GoldenEye 007;8.0;1.36
Marvel vs. Capcom 3: Fate of Two Worlds;8.2;1.36
Wolfenstein II: The New Colossus;9.0;1.36
Hasbro Family Game Night 2;6.4;1.36
Gardening Mama;6.6;1.36
FIFA Soccer 08;7.9;1.35
FIFA Soccer 09;8.1;1.35
Burnout Paradise;8.9;1.35
Battlefield: Bad Company;8.6;1.34
F1 2010;8.4;1.34
Max Payne 2: The Fall of Max Payne;6.8;1.34
Donkey Kong Jungle Beat;7.9;1.34
The ICO & Shadow of the Colossus Collection;9.0;1.34
Need for Speed Carbon;7.7;1.34
Command & Conquer: Red Alert 2;8.9;1.34
Tom Clancy's Rainbow Six: Vegas 2;8.2;1.34
Devil May Cry 4;8.5;1.34
WWE SmackDown vs Raw 2008;7.3;1.33
Alan Wake;8.3;1.33
Crysis 2;8.8;1.33
Grand Theft Auto: Chinatown Wars;9.5;1.33
Spider-Man: The Movie;7.9;1.33
Tony Hawk's Pro Skater;7.1;1.33
Fallout 76;5.1;1.32
Rage;7.9;1.32
MAG: Massive Action Game;7.4;1.32
UFC Undisputed 2010;8.6;1.32
Need for Speed Underground Rivals;7.6;1.32
Madagascar;6.4;1.31
The Beatles: Rock Band;8.9;1.31
[Prototype];7.9;1.31
LEGO Batman: The Videogame;7.2;1.31
Burnout 3: Takedown;9.3;1.31
LEGO Batman: The Videogame;7.9;1.3
NBA Live 07;6.3;1.3
Transformers;7.8;1.29
The Last Guardian;7.9;1.29
Champions of Norrath;8.5;1.28
Manhunt;8.0;1.28
Twisted Metal 4;6.7;1.28
Need for Speed Carbon;6.4;1.28
.hack//Infection Part 1;7.7;1.27
LEGO Batman: The Videogame;7.6;1.27
NBA 2K9;8.3;1.27
EA Sports Active 2;8.0;1.27
WWE '12;7.5;1.27
Castlevania: Symphony of the Night;9.3;1.27
The Sims 2: Nightlife;7.5;1.27
SOCOM: U.S. Navy SEALs Confrontation;6.3;1.26
Rockstar Games presents Table Tennis;6.8;1.26
Assassin's Creed: Bloodlines;6.3;1.26
Football Manager 2011;8.9;1.26
Tomb Raider: Underworld;7.8;1.26
RollerCoaster Tycoon 2;7.3;1.25
Cars 2;6.5;1.25
Black;7.7;1.25
Need for Speed: Most Wanted;8.4;1.25
Ratatouille;7.0;1.25
Need for Speed Carbon;7.8;1.24
Oddworld: Abe's Oddysee;8.3;1.24
[Prototype];8.1;1.24
"2010 FIFA World Cup South Africa";8.2;1.23
Frogger: The Great Quest;3.0;1.23
Donkey Kong Country 2;7.6;1.23
Star Wars Battlefront II;6.9;1.22
NBA Live 99;8.3;1.22
Intelligent Qube;7.4;1.22
Max Payne;8.6;1.22
Cars;7.4;1.21
FIFA 07 Soccer;8.0;1.21
Bayonetta;8.6;1.21
FIFA Soccer 11;7.0;1.21
NFL 2K;9.7;1.2
F1 2011;8.4;1.2
ATV Offroad Fury 3;7.5;1.2
Metal Gear Solid V: Ground Zeroes;7.6;1.2
WWE 2K14;7.6;1.2
Shadow of the Colossus;9.3;1.2
World Soccer Winning Eleven 9 (JP & Others sales);8.0;1.2
Mario & Sonic at the London 2012 Olympic Games;6.5;1.19
WWE SmackDown vs Raw 2008;7.3;1.19
Spider-Man: The Movie;7.6;1.19
Metal Gear Solid: Portable Ops;8.7;1.19
LEGO Star Wars III: The Clone Wars;8.0;1.18
WWE '12;9.0;1.18
Metal Gear Solid VR Missions;6.8;1.18
Tony Hawk's Pro Skater 2;8.9;1.18
Red Dead Redemption: Undead Nightmare;10.0;1.18
LEGO Indiana Jones: The Original Adventures;7.6;1.18
WWE SmackDown vs. Raw 2010;8.1;1.17
Ty the Tasmanian Tiger;6.2;1.17
Mission: Impossible;6.6;1.17
Army of Two;7.4;1.17
Medal of Honor Heroes 2;6.6;1.16
Sniper: Ghost Warrior;4.3;1.16
FIFA Soccer 10;7.9;1.16
Spore;7.0;1.16
Bushido Blade;8.2;1.16
EA Sports Active: More Workouts;7.9;1.16
Mirror's Edge;7.6;1.16
Sunset Overdrive;8.0;1.16
LEGO Star Wars: The Video Game;8.0;1.16
The Elder Scrolls V: Skyrim;8.6;1.15
Dragon Quest VIII: Journey of the Cursed King;8.8;1.15
Call of Duty 4: Modern Warfare;9.3;1.15
Hot Shots Golf: Out of Bounds;8.3;1.14
The Lord of the Rings: The Return of the King;8.8;1.14
South Park;6.0;1.14
Brave Fencer Musashi;8.4;1.14
Shadow of the Colossus;9.1;1.14
Action Bass;5.1;1.14
LEGO Star Wars III: The Clone Wars;6.7;1.14
Mortal Kombat;8.3;1.14
LEGO Star Wars: The Video Game;7.4;1.14
"007: Quantum of Solace";6.6;1.14
NCAA Football 14;7.6;1.13
Rocksmith;8.0;1.13
Rabbids Go Home;8.0;1.13
Fight Night Champion;8.4;1.13
Guitar Hero 5;9.0;1.13
Rocksmith;8.0;1.13
ModNation Racers;8.1;1.13
Plants vs Zombies: Garden Warfare;8.0;1.13
Cars;4.5;1.13
Mirror's Edge;7.7;1.13
Spider-Man 2;7.7;1.12
Crackdown 2;7.5;1.12
WWE 2K14;7.6;1.12
Need for Speed: Most Wanted (2012);7.4;1.12
Dragon Age II;8.0;1.12
The Beatles: Rock Band;8.7;1.12
SOCOM: U.S. Navy SEALs Fireteam Bravo;7.9;1.12
Mafia III;6.8;1.11
NCAA Football 13;7.5;1.11
Crash Bandicoot N. Sane Trilogy;6.0;1.11
Castlevania: Lords of Shadow;8.1;1.11
Tom Clancy's Splinter Cell: Chaos Theory;9.4;1.11
Red Dead Redemption: Undead Nightmare;10.0;1.11
Plants vs. Zombies;8.1;1.11
Rock Band;8.1;1.11
FIFA 18;5.8;1.1
LEGO Star Wars III: The Clone Wars;6.3;1.1
Guitar Hero 5;8.8;1.1
GRID;8.6;1.1
Sonic Free Riders;4.9;1.1
Bully: Scholarship Edition;8.1;1.09
DJ Hero;8.4;1.09
Namco Museum Battle Collection;7.9;1.09
Lightning Returns: Final Fantasy XIII;7.1;1.09
Toy Story 3: The Video Game;7.5;1.09
Skate 2;8.2;1.09
NFL 2K1;9.6;1.09
Dragon Ball Z: The Legacy of Goku II;7.6;1.09
Untold Legends: Brotherhood of the Blade;6.5;1.09
Star Wars: The Force Unleashed;7.1;1.09
The Simpsons Game;6.0;1.08
Dante's Inferno;7.3;1.08
Disney's Lilo & Stitch;8.0;1.08
Ready 2 Rumble Boxing;7.6;1.08
FIFA Soccer 11;7.0;1.08
Star Fox: Assault;6.6;1.08
Virtua Fighter 5;8.7;1.08
Pro Evolution Soccer 2014;8.3;1.08
Grand Theft Auto: Chinatown Wars;9.2;1.08
